participant_id,group,age_range,program,prior_oop_experience,prior_knowledge_inheritance,prior_knowledge_polymorphism,prior_knowledge_abstract_classes,q_overall_experience,q_knowledge_adequacy,q_interaction_strategy,q_additional_comments,score_immediate,score_retention,interaction_time_seconds,prompt_count
T1,T,25 a 34,Ciência da Computação,Muito pouco,Concordo parcialmente,Discordo parcialmente,Concordo parcialmente,"Muito útil, ferramenta bem responsiva.","Sim, fiquei com um pouco de dúvidas ao responder o questionário mas recordei dos exercícios e lembrei os conceitos.","Achei ela bem rápida e direta, acho que se a internet fosse melhor seria ainda mais rápida.","O único detalhe foi a quantidade de palavras no texto, tentei colar um método para a ferramenta verificar e copiou apenas o início, mas o restante foi tudo excelente.",0.6,0.4,4285,9
T2,T,18 a 24,Ciência da Computação,"Sim, em aulas",Neutro,Discordo parcialmente,Neutro,"Acredito que não é possível aprofundar muito sobre o conteúdo, sendo assim um ensino do conteúdo um pouco superficial que fica sob completa responsabilidade do usuário, de modo que ele deve saber as melhores possibilidades para usar de prompt - e, caso não saiba, pode ficar sem alguma informação.","Não acredito que tenha sido suficiente: consegui uma base para as respostas, mas não acho que tenham sido as melhores resoluções.","Na minha perspectiva, a experiência e a interação com a ferramenta foi satisfatória, com relação a sistema e etc.",-,0.75,0.45,2762,13
T3,T,18 a 24,Engenharia elétrica,"Sim, em aulas",Discordo parcialmente,Discordo totalmente,Discordo totalmente,"Muito boa, o unico problema erra o network error","Sim, bastante, consegui aprender praticamente tudo","No geral bem satisfatória, estruturou bem a resposta, sem nenhuma informação errada, de forma didática e com bons exemplos, e uma boa memória que acompanhou todo o chat","Acho que a ferramenta é extremamente boa e deveria ser mais implementada para aprendizado de forma consciente, porém precisa ser bem utilizada para ser proveitosa",0.65,0.5,2316,18
T4,T,18 a 24,Ciências Exatas,"Sim, em aulas",Discordo totalmente,Discordo totalmente,Concordo parcialmente,"eu gostei da experiência, normalmente eu estudo utilizando outras ferramentas então estou bem familiarizado com essa maneira de aprender.","sim, o chat respondia de maneira bem didática e me ajudou bastante a conseguir conhecimento suficiente para responder o questionário.","o chat respondia minhas perguntas de maneira direta e exemplificando de maneira bem simples, eu gostei muito de utilizar.",-,0.4,0.25,1076,18
T5,T,18 a 24,Ciências exatas,Muito pouco,Discordo parcialmente,Discordo totalmente,Discordo totalmente,foi igual a quando eu uso outros chatbots pra estudar algo ,"acho que sim, mas ter conhecimento pra responder as perguntas depende mais de fzr as perguntas certas","achei extremamente comum, bom igual gpt gemini etc... ",-,0.65,0.4,1213,12
T6,T,18 a 24,Ciências Exatas,"Sim, em aulas",Discordo parcialmente,Discordo parcialmente,Discordo parcialmente,"Achei bem legal, interessante e pratico.","Sim, mas não 100% existem lacunas que só seria possivel saber se pedisse o chat para explicar sobre aquilo ","Direta e prática, eu particularmente gostei",Acho que o chat é uma excelente ferramenta mas para tirar o seu 100% a pessoa deve saber minimamente oque está estudando para ter duvidas para tirar com ele e perceber coisas diferentes que ele usa sem falar,0.7,0.75,1659,13
S1,S,18 a 24,Ciências Exatas,"Sim, em aulas",Discordo parcialmente,Discordo totalmente,Discordo totalmente,"Tive uma experiencia muito boa ao me comunicar com o chat, a única coisa que aconteceu foi que quando mandava uma nova pergunta eu precisava reiniciar a pagina pra ele me responder, ou então respondia pela metade e eu também precisava atualizar a pagina novamente pra obter a resposta.","Sim. A partir das perguntas que eu fiz consegui entender a matéria muito bem. E as respostas que o chat me dava me guiavam de uma forma muito boa pro aprendizado, me dando exemplos e também seguindo os exemplos que eu dei.",Achei muito boa. Ao final da resposta ele sempre trazia uma pergunta pra ver se eu realmente tinha entendido a matéria.,-,0.5,0.6,1898,12
S2,S,18 a 24,Sistemas de informações,"Sim, em aulas",Discordo totalmente,Discordo totalmente,Concordo parcialmente,"Foi útil, no mesmo nível do chatgpt gratuito eu diria","Sim, pois consegui aprender parte teórica e computacional",Ela respondia de forma clara minhas perguntas e a interação foi o que eu diria esperado de uma I.A generativa,Nao,0.35,0.25,3857,12
S3,S,25 a 34,Ciência da Computação,"Sim, em aulas",Concordo parcialmente,Discordo parcialmente,Concordo parcialmente,Foi uma experiência positiva. Conseguir ter vários exemplos até eu entender o conceito ao qual estava estudando.,Me ajudou em 80% do questionário. Algumas perguntas eu tentei generalizar para responder.,"Ela sempre trouxe exemplos para o entendimento do assunto, ou mudava a forma quando eu não entendia.","A experiência foi positiva porém ela deixa solta para o aluno guiar a busca do conhecimento. Acredito que ela deveria me guiar nos tópicos pré-estabelecidos pelo educador.

Ex: O Aluno tem que cobrir os conhecimentos X, Y e Z antes de concluir este módulo. O chat deve guia-lo até ele declarar que entendeu todos os tópicos exigidos.",0.6,0.6,2464,15
S4,S,18 a 24,Sistemas de Informação,"Sim, em aulas",Discordo totalmente,Discordo totalmente,Discordo parcialmente,"Foi bastante positiva, deu para esclarecer minhas dúvidas e de apresentar explicações mais detalhadas quando necessário.","Sim, acredito que a interação com a ferramenta forneceu conhecimento suficiente para responder.","A ferramenta respondia as perguntas de forma clara, objetiva e organizada.",-,0.45,0.3,1964,36
S5,S,18 a 24,Sistemas de Informação,"Sim, em aulas",Neutro,Discordo parcialmente,Concordo parcialmente,"Houve uma certa dificuldade com um problema de conexão, porém, a ferramenta conseguiu me ensinar e deu ótimos exemplos práticos.","Minha interação com a ferramenta foi muito centrada em contextos práticos e vi muito pouco do teórico, e como o pós-questionário era quase que todo teórico eu meio que não dei respostas bem elaboradas.","A ferramenta estava me respondendo conforme eu pedia, ela tinha memória das mensagens já enviadas e com isso ela conseguia ir me dando respostas melhores a cada prompt que eu dava.",-,0.55,0.6,2418,16
S6,S,18 a 24,Eng. Computacional,"Sim, em projetos pessoais ou profissionais",Concordo parcialmente,Discordo totalmente,Discordo totalmente,"Tirando os erros de conexão eventuais, a experiência foi fluida e dinamica, visto que a inteligência artificial se adaptou a linguagem solicitada.","Sim, pude responder todas as questões do questionário sem dificuldades",A dinâmica da interação foi como uma conversa com um professor. Os conteúdos ficaram bem amarrados entre si,-,0.5,0.7,2984,19
